product_title,product_id,product_price,product_rating,product_colors,product_site
Sailor Pro Gear Slim Solar Term Series Fountain Pen - Fuki - The Goulet Pen Company,SL-11-8874-260,236.00,5.0,"First Snow,Autumn Drizzle,Black/Silver,Blue Quasar,Celestial Gray,Dragon Palace,Follow the Mermaid,Fuki,Grateful Crane,Hagi,Iris Nebula,Kamoshika,Kiku,Komakusa,LINE FRIENDS - CONY,Lucky Charm,Momo,Moonlight Over the Ocean,Nadeshiko,Northern Lights Blue,Princess Kaguya,Princess Koto,Princess Ochikubo,Princess Shirotae,Princess Uguisu,Spring Rain,Spring Sky,Summer Rain,Tako,Vega,Winter Rain,Winter Sky,Yuu-tsubame,Yuzuyu,Dianthus,Grass,Moss,Plum,Rabbit Ear Iris,Violet,Wisteria",gouletpens.com
Platinum Curidas Fountain Pen Gift Set - Matte Blue - The Goulet Pen Company,Plat-PKN-9000-56-F,120.00,,"Prism Crystal,Urban Green,Matte Black,Matte Blue,Matte Red",gouletpens.com
Pilot Vanishing Point Fountain Pen - Raden Stripe - The Goulet Pen Company,PN60589,850.00,4.9,"Black Carbonesque,Black Matte,Black/Gold,Black/Rhodium,Blue Carbonesque,Blue Matte,Blue/Gold,Blue/Rhodium,Gun Metal/Black,Gun Metal/Rhodium,Kanreki,Raden Galaxy,Raden Stripe,Raden Water Surface,Stripes,White/Black,Marble Black,Marble Blue,Marble Orange,Marble Red",gouletpens.com
Diplomat Elox Fountain Pen - Ring Black/Blue - The Goulet Pen Company,DP-D40352028,220.00,4.9,"Matrix Orange/Black,Ring Black/Blue,Ring Black/Purple",gouletpens.com
Sailor 1911L Ringless Galaxy Fountain Pen - Magellanic Clouds - The Goulet Pen Company,SL-11-3920-250,260.00,5.0,"Wicked Witch of the West,Golden Olive,Andromeda,Crab Nebula,Magellanic Clouds,Orion,Pleiades",gouletpens.com
Esterbrook Estie Fountain Pen Gift Set - Nouveau Bleu/Gold - The Goulet Pen Company,ES-ENB156-F-Bundle,175.50,,"Botanical Gardens,Nouveau Bleu/Gold,Sea Glass/Gold",gouletpens.com
Monteverde Invincia Vega Fountain Pen - Starlight Blue - The Goulet Pen Company,MV42561,76.00,4.9,"Stealth Black,Rose Gold,Nebula,Starlight Blue,Starlight Green,Starlight Purple,Starlight Yellow",gouletpens.com
Visconti Mirage Mythos Fountain Pen - Poseidon - The Goulet Pen Company,VI-KP07-16-FP-F,159.20,,"Aphrodite,Apollo,Athena,Poseidon,Zeus",gouletpens.com
Magna Carta Mag 600 Fountain Pen - Azure - The Goulet Pen Company,MC-MCMAG600AZURE,420.00,,"Azure,Black,Charoite,Obsidian",gouletpens.com
Pilot Vanishing Point LS Fountain Pen - Burgundy - The Goulet Pen Company,PN15769,480.00,4.9,"Black Matte,Black/Rhodium,Blue,Burgundy",gouletpens.com
Pilot Justus 95 Fountain Pen - Black/Rhodium - The Goulet Pen Company,PN16785,336.00,4.9,"Black/Gold,Black/Rhodium",gouletpens.com
Namiki Emperor Urushi Fountain Pen - Vermillion - The Goulet Pen Company,PN60105,"2,100.00",,,gouletpens.com
Esterbrook Model J Fountain Pen - Lotus Green - The Goulet Pen Company,ES-EBJWF-EF,265.50,,"Antique Rose,Lotus Green",gouletpens.com
Visconti Rembrandt S Fountain Pen - Lilac - The Goulet Pen Company,VI-KP10-29-FP-F,175.20,,"Black,Blue,Bordeaux,Lilac",gouletpens.com
Sheaffer Icon Fountain Pen - Blue/Black - The Goulet Pen Company,SH-E0911053,108.00,5.0,"Black/Red,Blue/Black",gouletpens.com
BENU Euphoria Fountain Pen - Easter Bunny (Limited Edition) - The Goulet Pen Company,BN-05-2-76-5-0-F,280.00,,"Bora Bora,Bourbon,Caviar,Christmas Twinkle,Draco Darling,Earl Grey,Easter Bunny,French Poetry,Hallowed Harvest,Iced Caramel Latte,Jazz,Love Story,Love's Little Lark,Neapolitan,Sangria,Steamboat Master,Vodka on the Rocks,Watermelon Mojito",gouletpens.com
Sailor Pro Gear Slim Fountain Pen - Iris Nebula (Limited Edition) - The Goulet Pen Company,SL-11-2440-140,236.00,5.0,"First Snow,Autumn Drizzle,Black/Silver,Blue Quasar,Celestial Gray,Dragon Palace,Follow the Mermaid,Fuki,Grateful Crane,Hagi,Iris Nebula,Kamoshika,Kiku,Komakusa,LINE FRIENDS - CONY,Lucky Charm,Momo,Moonlight Over the Ocean,Nadeshiko,Northern Lights Blue,Princess Kaguya,Princess Koto,Princess Ochikubo,Princess Shirotae,Princess Uguisu,Spring Rain,Spring Sky,Summer Rain,Tako,Vega,Winter Rain,Winter Sky,Yuu-tsubame,Yuzuyu,Dianthus,Grass,Moss,Plum,Rabbit Ear Iris,Violet,Wisteria",gouletpens.com
Platinum #3776 Celluloid Fountain Pen - Karakusa - The Goulet Pen Company,Plat-PTB-80000SR-55-M,"1,040.00",,"Cherry Blossom,Karakusa,Midnight Blue Ocean",gouletpens.com
Visconti Homo Sapiens Skylight Fountain Pen - Steel Age - The Goulet Pen Company,VI-KP15-99-05-FP-F,956.00,,,gouletpens.com
Sailor Pro Gear Slim Manyo Fountain Pen Set - Dianthus (Special Editio - The Goulet Pen Company,SL-10-8079-351,280.00,5.0,"First Snow,Autumn Drizzle,Black/Silver,Blue Quasar,Celestial Gray,Dragon Palace,Follow the Mermaid,Fuki,Grateful Crane,Hagi,Iris Nebula,Kamoshika,Kiku,Komakusa,LINE FRIENDS - CONY,Lucky Charm,Momo,Moonlight Over the Ocean,Nadeshiko,Northern Lights Blue,Princess Kaguya,Princess Koto,Princess Ochikubo,Princess Shirotae,Princess Uguisu,Spring Rain,Spring Sky,Summer Rain,Tako,Vega,Winter Rain,Winter Sky,Yuu-tsubame,Yuzuyu,Dianthus,Grass,Moss,Plum,Rabbit Ear Iris,Violet,Wisteria",gouletpens.com
Delta Duna Fountain Pen - Mirage Magenta - The Goulet Pen Company,DE78127-EF,156.00,4.9,"Horizon Yellow,Mirage Magenta,Oasis Blue,Reflex Grey",gouletpens.com
Sailor Pro Gear Slim Manyo Fountain Pen Set - Rabbit Ear Iris (Limited - The Goulet Pen Company,SL-10-2559-250,236.00,5.0,"First Snow,Autumn Drizzle,Black/Silver,Blue Quasar,Celestial Gray,Dragon Palace,Follow the Mermaid,Fuki,Grateful Crane,Hagi,Iris Nebula,Kamoshika,Kiku,Komakusa,LINE FRIENDS - CONY,Lucky Charm,Momo,Moonlight Over the Ocean,Nadeshiko,Northern Lights Blue,Princess Kaguya,Princess Koto,Princess Ochikubo,Princess Shirotae,Princess Uguisu,Spring Rain,Spring Sky,Summer Rain,Tako,Vega,Winter Rain,Winter Sky,Yuu-tsubame,Yuzuyu,Dianthus,Grass,Moss,Plum,Rabbit Ear Iris,Violet,Wisteria",gouletpens.com
Noodler's Ahab Flex Fountain Pen - Thule - The Goulet Pen Company,N15069,25.75,,"Ahab's Pearl,Arizona,Black,Cardinal Darkness,Carniolan Honey,Charon's Panther,Clear,Dover,Hudson Bay,Ivory Darkness,Jade,Lajes,Lapis Inferno,Medieval Lapis,Mesa Tortoise,Mesa Turquoise,Ramstein,Raven,Thule,Truk Lagoon",gouletpens.com
Sailor Pro Gear Slim Mini Fountain Pen - Ayur Blue - The Goulet Pen Company,SL-11-1503-340,220.00,,"Ayur Blue,Night Blue,Zyne Pink,Bleu Ciel,Bordeaux Fonce,Gris Fer",gouletpens.com
Tibaldi Bononia Fountain Pen - Pearl Mist - The Goulet Pen Company,TB-BNN-12FP-F,206.00,,"Bora Bora,Pearl Mist",gouletpens.com
Maiora Mitho Fountain Pen - Oronero - The Goulet Pen Company,MA-NE78072-FX-F,198.00,,,gouletpens.com
S.T. Dupont Defi Millennium Fountain Pen - Matte Black - The Goulet Pen Company,SD-400719,360.00,,"Matte Black,Matte Red,Shiny Black,Shiny Blue",gouletpens.com
Maiora Capsule Fountain Pen - Purple (Limited Edition) - The Goulet Pen Company,MA-NE78124-F,396.00,4.9,Purple,gouletpens.com
Esterbrook Estie Fountain Pen Gift Set - Sea Glass/Gold - The Goulet Pen Company,ES-ESG816-F-Bundle,175.50,,"Botanical Gardens,Nouveau Bleu/Gold,Sea Glass/Gold",gouletpens.com
Monteverde Invincia Vega Fountain Pen - Starlight Green - The Goulet Pen Company,MV42571,76.00,4.9,"Stealth Black,Rose Gold,Nebula,Starlight Blue,Starlight Green,Starlight Purple,Starlight Yellow",gouletpens.com
Pilot Custom 845 Urushi Fountain Pen - Black - The Goulet Pen Company,PN15295,900.00,4.9,"Black,Vermillion",gouletpens.com
